pair_id,a_name,a_address,a_city,a_state,a_zip,b_name,b_address,b_city,b_state,b_zip,label,note
B019,CITIZENS NATIONAL BANK,101 MAIN AVENUE,AKRON,CO,80720,CITIZENS NATIONAL BANK AKRON,PO BOX 300,AKRON,CO,80720,,
B020,COLORADO BANK AND TRUST,OF LA JUNT,LA JUNTA,CO,81050,COLORADO BANK AND TRUST,PO BOX 499,LA JUNTA,CO,81050,,
B021,WELLS FARGO BANK WEST,1740 BROADWAY,DENVER,CO,80270,WELLS FARGO BK,633 17TH ST,DENVER,CO,80270,,
B022,AMERICAN NATIONAL BANK,"1864 WOOMOOR DRIVE, SUITE 205",MONUMENT,CO,80132,AMERICAN NATIONAL BANK,1864 WOODMOOR STE 205,MONUMENT,CO,80132,,
B023,COLORADO BUSINESS PARK,821 17TH ST,DENVER,CO,80202,U S BANK,918 17TH ST,DENVER,CO,80202,,
B024,HOME STATE BANK,POX 329,LOVELAND,CO,80539,HOME STATE BANK,PO BOX  329,LOVELAND,CO,80539,,
B025,SAN LUIS VALLEY FEDERAL BANK,P.O. BOX 780,ALAMOSA,CO,81101,SAN LUIS VALLEY FEDERAL BANK,,ALAMOSA,CO,81101,,
B026,HOME STATE BANK,935 CLEVELAND AVE.,LOVELAND,CO,80537,THE HOME STATE BANK,935 N CLEVELAND AVE,LOVELAND,,80537,,
B027,THE FIRST NATIONAL BANK OF FLAGLER,329 MAIN ST,FLAGLER,CO,80815,THE FIRST NATIONAL BANK FLAGLE,PO BOX 158,FLAGLER,CO,80815,,
B028,NORWEST BANK COLORADO,2808 N AVE,GRAND JUNCTION,CO,81502,NORWEST BANK OF GRAND JUNCTION,2808 NORTH AVENUE PO BOX 1568,GRAND JUNCTION,CO,81502,,
B029,AMERICAN NATIONAL BANK,102 NORTH CASCADE AVE,COLORADO SPRINGS,CO,80903,AMERICAN NATIONAL BANK,102 N CASCADE AVE STE 200,COLORADO SPRINGS,CO,80903,,
B030,ALAMOSA NATL BANK,PO BOX 1098,ALAMOSA,CO,81101,ALAMOSA NATIONAL BANK,601 MAIN ST/PO BOX 1098,ALAMOSA,CO,81101,,
B031,VECTRA BANK COLORADO NATIONAL ASSOCIATION,200 WEST 1ST STREET,PUEBLO,CO,81003,VECTRA BANK COLORADO NATIONAL ASSOCIATION,200 WEST 1ST ST,PUEBLO,CO,81003,,
B032,AMERICAN NATIONAL BANK,3033 E 1ST  AVENUE,DENVER,CO,80206,AMERICAN NATIONAL BANK,3033 E1ST AVE,DENVER,CO,80206,,
B033,WELLS FARGO BROKERAGE SERVICES,1740 BROADWAY (#0932-004),DENVER,CO,80274,WELLS FARGO BANK,1740 BROADWAY,DENVER,CO,80274,,
B034,WELLS FARGO BANK,NATIONAL ASSOCIATION,DENVER,CO,80270,WELLS FARGO BANK,NATIONAL BANK,DENVER,CO,80270,,
B035,VECTRA BANK COLORADO NATIONAL ASSOCIATION,350 WEST MONTZUMA AVENUE,CORTEZ,CO,81321,VECTRA BANK COLORADO NATIONAL ASSOCIATION,350 WEST MONTEZUMA AVENUE,CORTEZ,CO,81321,,
B036,FIRST NATIONAL BANK OF PUEBLO,1419 HWY 50 WEST,PUEBLO,CO,81008,FIRST NATIONAL BANK OF PUEBLO,"1300 FORTINO BLVD, SUITE A",PUEBLO,CO,81008,,
B037,NORWEST BANK MONTROSE,P O BOX 730,MONTROSE,CO,81401,UNITED BANK OF MONTROSE,PO BOX 730,MONTROSE,CO,81401,,
B038,FIRST NATIONAL BANK OF FLEMING,201 N LOGAN,FLEMING,CO,80728,FIRST NATIONAL BANK FLEMING,PO BOX 408,FLEMING,CO,80728,,
B039,THE CITIZENS NATIONAL BANK OF AKRON,101 MAIN AVENUE; P. O. BOX 300,AKRON,CO,80720,THE FARMERS STATE BANK OF AKRON,101 MAIN AVENUE,AKRON,CO,80720,,
B040,HOME STATE BANK,P. O. BOX 329,LOVELAND,CO,80539,HOME STATE BANK,PO BOX 329,LOVELAND,CO,80539,,
B041,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,80112,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,80132,,
B042,FIRST NATIONAL BANK IN ALAMOSA,720 MAIN ST,ALAMOSA,CO,811011139,FIRST NATIONAL BANK IN ALAMOSA,720 MAIN STREET,ALAMOSA,CO,,,
B043,SAN LUIS VALLEY FEDERAL BANK,3415 MARIPOSA,ALAMOSA,CO,81101,SAN LUIS VALLEY FEDERAL BANK,401EDISON AVE,ALAMOSA,CO,81101,,
B044,GENERAL MOTORS ACCEPTANCE CORPORATI,"8055 E TUFTS AVE., SUITE 300",DENVER,CO,80237,GM ACCEPTANCE,8055 E TUFTS AVE #300,DENVER,CO,80237,,
B045,THE COLORADO BANK AND TRUST CO OF L,301 COLORADO AVE,LA JUNTA,CO,81050,THE COLORADO BANK AND TRUST CO OF LA,301 COLO AVE   P O BOX 499,LA JUNTA,CO,81050,,
B046,CO BANK ACB ALSO KNOWN AS COBANK,245 NORTH WACO - PO BOX 2940,WICHITA,KS,672012940,COBANK ACB COBANK,245 N WACO PO BOX 2940,WICHITA,KS,672012940,,
B047,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,80232,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,80111,,
B048,NORWEST BANK GRAND JUNCTION,2808 NORTH AVE,GRAND JUNCTION,CO,81501,NORWEST BANK COLO,2808 NORTH AVE,GRAND JUNCTION,CO,81502,,
B049,COLORADO COMMUNITY BANK,122 WEST MAIN ST,STERLING,CO,80751,COLORADO COMMUNITY BANK OF STERLING AA REGISTERED TRADENAME OF FIRST NATIONAL BANK OF YUMA,122  WEST MAIN ST.,STERLING,CO,80751,,
B050,EASTERN COLORADO BANK,10 S 1ST,CHEYENNE WELLS,CO,80810,EASTERN COLORADO BANK,P O BOX 888,CHEYENNE WELLS,CO,80810,,
B051,BANK OF COLORADO,201 SOUTH 3RD ST,STERLING,CO,80751,BANK OF COLORADO,201 SOUTH THIRD STRET,STERLING,CO,80751,,
