pair_id,a_name,a_address,a_city,a_state,a_zip,b_name,b_address,b_city,b_state,b_zip,label,note
P080,IRWIN DEVON K,1255 DISTEL DRIVE UNIT C,LAFAYETTE,CO,80026,IRWIN ENTERPRISES,1255 DISTEL DRIVE UNIT C,LAFAYETTE,CO,80026,,
P081,NORWEST BANK GRAND JUNCTION,2808 NORTH AVE,GRAND JUNCTION,CO,81502,NORWEST BANK COLORADO NATIONAL ASSOCIATION,2808 NORTH AVE,GRAND JUNCTION,CO,81502,,
P082,BANK OF CHERRY CREEK,3033 E FIRST AVE,DENVER,CO,802069629,BANK OF CHERRY CREEK,3033 1ST AVE,DENVER,CO,80209,,
P083,ELDRINGHOFF SUSAN L,84625 E CR 34,DEER TRAIL,CO,80105,ELDRINGHOFF CLARENCE G,84625 E COUNTY 34,DEER TRAIL,CO,80105,,
P084,YOUNG VERNON E,11086 COUNTY ROAD 22,ECKLEY,CO,80727,YOUNG VERNON E,1086 COUNTY ROAD 22`,ECKLEY,CO,80727,,
P085,NORWEST BANK COLORADO,P O BOX 565,FORT COLLINS,CO,80522,NORWEST BANK COLORADO,PO BOX 565,FORT COLLINS,CO,80522,,
P086,COOKSEY DAMARIS E,41419 ST HWY 52,ROGGEN,CO,80652,COOKSEY VERNON L,41419 ST HWY 52,ROGGEN,CO,80652,,
P087,HANK WILLIAMS,P.O. BOX 704,NORWOOD,CO,81423,HANK WILLIAMS,PO BOX 704,NORWOOD,CO,81423,,
P088,PEAKVIEW APARTMENTS,1877 BROADWAY STE 701,BOULDER,CO,80302,WESTRIDGE APARTMENTS,1877 BROADWAY STE 701,BOULDER,CO,80302,,
P089,LAKE CREEK AFFORDABLE HOUSING CORPO,PO BOX 850,EAGLE,CO,81631,B AND B EXCAVATING,PO BOX 4870,EAGLE,CO,81631,,
P090,FORD MOTOR CREDIT,744 HORIZON CT #330,GRAND JUNCTION,CO,81506,FORD MOTOR CREDIT,744 HORIZON CT #330,GRAND JUNCTION,CO,81501,,
P091,SANCTUARY HOMES,"2121 ONEIDA STREET, SUITE 312",DENVER,CO,80224,SANCTUARY HOMES,"2121 S. ONEIDA STREET, SUITE 312",DENVER,CO,80224,,
P092,RATHJEN CONSTRUCTION AND ASPHALT PAVING,P O BOX 2837,DURANGO,CO,81302,RATHJEN CONSTRUCTION AND ASPHALT PAVING,"P.O. BOX 2837,",DURANGO,CO,81302,,
P093,JANSSEN MARK,34774 WCR 39,EATON,CO,80615,JANSSEN LORRAINE,34774 WCR 39,EATON,CO,80615,,
P094,AMERICAN WEST CONSTRUCTION,PO BOX2530,DENVER,CO,80212,AMERICAN WEST CONSTRUCTION,PO BOX 12530,DENVER,CO,80212,,
P095,HALL AND HALL MORTGAGE,1559 LOGAN STREET,DENVER,CO,80203,HALL AND HALL MORTGAGE,1559 LOGAN ST,DENVER,CO,80203,,
P096,DIETZ DOUGLAS D,2531 CR ZZ,COPE,CO,80812,DIETZ ERIN R,2531 CR ZZ,COPE,CO,80812,,
P097,HIGH COUNTRY MANUFACTURING,103 N 4TH ST,MONTROSE,CO,81401,HIGH COUNTRY MANUFACTURING,103 NORTH 4TH STREET,MONTROSE,CO,81401,,
P098,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,80203,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,80601,,
P099,FREES DELMAR E,26814 COUNTY RD 61,MOFFAT,CO,81143,THIRSTY PEAK RANCH A GENERAL PARTN,26814 COUNTY RD 61,MOFFAT,CO,81143,,
P100,YAMAHA MUSIC CORPORATION USA,6600 ORANGETHORPE AVE,BUENA PARK,CA,906226600,YAMAHA MUSIC CORP USA,6600 ORANGETHORPE AVE,BUENA PARK,CA,906226600,,
P101,ALLIANCE LEASING,2075 S. UNIVERSITY,DENVER,CO,80210,ALLIANCE LEASING,2075 S. UNIVERSITY #289,DENVER,CO,80210,,
P102,ROCKY MOUNTAIN CHOCOLATE FACTORY,265 TURNER DRIVE,DURANGO,CO,81301,ROCKY MOUNTAIN CHOCOLATE FACTO,265 TURNER DR,DURANGO,CO,81301,,
P103,THE FIRST NATIONAL BANK OF ORDWAY,300 MAIN STREET,ORDWAY,CO,81063,THE FIRST NATIONAL BANK OF ORDWA,300 MAIN STREET,ORDWAY,CO,81063,,
P104,VECTRA BANK COLORADO NATIONAL,1650 S COLORADO BLVD,DENVER,CO,80222,VECTRA BANK COLORADO NATIONAL ASSOCIATION,2000 S COLORADO BLVD 2-1200,DENVER,CO,80222,,
P105,ELECTRO MECHANICAL PRODUCTS,1100 W LOUISIANA,DENVER,CO,80223,ELECTRO MECHANICAL PRODUCTS,1100 W LOUSIANA AVE,DENVER,CO,80223,,
P106,STERLING PRODUCTION CREDIT ASSOCIATION,"200 POPLAR, BOX 1785",STERLING,CO,80751,INDEPENDENT BANK,P O BOX 1672,STERLING,CO,80751,,
P107,PRIMA MARKETING,600 17TH ST STE 2250 SOUTH,DENVER,CO,80202,CASTLE WHITNEY THREE,600 17TH ST STE 750 S,DENVER,CO,80202,,
P108,BADGER BACKHOE SERVICE,PO BOX 1102,MEEKER,CO,81641,BADGER BACKHOE SERVICE,P O BOX 1102,MEEKER,CO,81641,,
P109,ALAMOSA STATE BANK,PO BOX 1098,ALAMOSA,CO,81101,ALAMOSA NATIONAL BANK,BOX 10987,ALAMOSA,CO,81101,,
P110,DICKERSON GARY W,53047 EASTER ROAD,OLATHE,CO,81425,DICKERSON GARY W,53047 EASTER RD,OLATHE,CO,81425,,
P111,TOM PITTS AND ASSOCIATES,1703 E 18TH ST STE 5A,LOVELAND,CO,80537,PITTS WILLIAM T,1703 E 18TH ST STE 5A,LOVELAND,CO,80537,,
P112,HAGGERTY LARRY A JR,961 COLORADO STREET,CRAIG,CO,81625,HAGGERTY LARRY A JR,961 COLORADO ST,CRAIG,CO,81625,,
P113,VALLEY NATIONAL BANK BRANCH GNB,P O BOX 1108,LAMAR,CO,81052,VALLEY NATIONAL BANK BRANCH GNB,P O BOX 1105,LAMAR,CO,81052,,
P114,FIRST NATIONAL BANK OF LAS ANIMAS,402 COLORADO AV,LA JUNTA,CO,81050,THE LA JUNTA STATE BANK AND TR,124 COLORADO AVE,LA JUNTA,CO,81050,,
P115,PLATTE RIVER PIPELINE,3550 E 160TH AVE,BRIGHTON,CO,80601,CONCRETE WORKS OF COLORADO,3550 E. 160TH AVE,BRIGHTON,CO,80601,,
P116,BATES GLENDA L,29987 RD 14,ROCKY FORD,CO,81067,BATES GLENDA L,29987 COUNTY RD 14,ROCKY FORD,CO,81067,,
P117,VECTRA BANK COLORADO NATIONAL ASSOCIATION,1200 S. TOWNSEND,MONTROSE,CO,81401,VECTRA BANK COLORADO NATIONAL ASSOCIATION,1200 S TOWNSEND,MONTROSE,CO,81401,,
P118,WESTERN CLEAN UP,PO BOX 1247,FORT MORGAN,CO,80701,WESTERN CLEANUP CORPERATION,P.O. BOX 1245,FORT MORGAN,CO,80701,,
P119,GORDON JAMES D,PO BOX 30,GRANT,CO,80448,RAINBOW TROUT RANCH,PO BOX 30,GRANT,CO,80448,,
P120,THE COLORADO BANK AND TRUST,301 COLORADO AVENUE,LA JUNTA,CO,81050,THE COLORADO BANK AND TRUST,301 COLORADO AVENUE,LA JUNTA,CO,81050,,
P121,LARRY S AUTO BODY REPAIR AND PAINTING,PO BOX 1155,FORT MORGAN,CO,80701,HARRIS SHIRLEY A,PO BOX 1155,FORT MORGAN,CO,80701,,
P122,NORWEST BANK CO NATL,1740 BROADWAY,DENVER,CO,80274,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,80274,,
P123,MUTH RICHARD,21233 HIGHWAY 50,ROCKY FORD,CO,81067,MUTH RICHARD,21233 HWY 50,ROCKY FORD,CO,81067,,
P124,BASSETT FARMS,0736 E HWY 112,CENTER,CO,81125,BASSETT FARMS,0736 E HWY 112,CENTER,CO,81125,,
P125,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,68510,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,81501,,
P126,RINKIED,390 E GARDEN OF THE GODS,COLORADO SPRINGS,CO,80907,RINKIED,390 GARDEN OF THE GODS ROAD,COLORADO SPRINGS,CO,80907,,
P127,INSURANCE TECHNOLOGIES,2 S CASCADE AVE,COLORADO SPRINGS,CO,80903,INSURANCE TECHNOLOGIES,2 SOUTH CASCADE,COLORADO SPRINGS,CO,80903,,
P128,OSMOND LEONARD M,3142 SHADOW MOUNTAIN DR,CONIFER,CO,80433,OSMOND JENNIFER L,3142 SHADOW MOUNTAIN DR,CONIFER,CO,80433,,
P129,COLORADO BANK AND TRUST,COMPANY OF LA JUNTA (THE),LA JUNTA,CO,81050,COLORADO BANK AND TRUST CO OF,LA JUNTA (THE),LA JUNTA,CO,81050,,
P130,LOWE MARVIN E,36155 COUNTY RD J,CHEYENNE WELLS,CO,80810,LOWE MARVIN E,36155 ROAD J,CHEYENNE WELLS,CO,80810,,
P131,ALLIANCE LEASING,2075 S. UNIVERSITY,DENVER,CO,80210,ALLIANCE LEASING,2075 S. UNIVERSITY #289,DENVER,CO,80210,,
P132,HANSEN GLEN E JR,PO BOX 2115,ESTES PARK,CO,80517,STONESTREET MARKETING SERVICES,PO BOX 1567,ESTES PARK,CO,80517,,
P133,STERLING PRODUCTION CREDIT ASSOSIATION,BOX 1785,STERLING,CO,80751,STERLING PRODUCTIN CREDIT ASSOCIATION,BOX 1785,STERLING,CO,80751,,
P134,THE STATE BANK,P.O. BOX 477,LA JUNTA,CO,81050,THE STATE BANK LA JUNTA,PO BOX 477,LA JUNTA,CO,81050,,
P135,NORWEST BANK STERLING,P O BOX 1592,STERLING,CO,80751,NORWEST BANK STERLING,129 S THIRD ST,STERLING,CO,80751,,
P136,OLDCASTLE SW GROUP,"375 NORTHRIDGE ROAD, SUITE 350",ATLANTA,CO,30350,OLDCASTLE SW GROUP,375 NORTHRIDGE STE 350,ATLANTA,GA,30350,,
P137,MEEKER GENERAL MERCANTILE,PO BOX 199,MEEKER,CO,81641,DUNHAM BECKY,PO BOX 199,MEEKER,CO,81641,,
P138,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,81650,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,81416,,
P139,DIA CONSTRUCTION,2171 W 1-70 FRONTAGE RD,DE BEQUE,CO,81630,0BYN00365,2171 W 1-70 FRONTAGE RD,DE BEQUE,CO,81630,,
P140,UNITED STATES OF AMERICA FARM SERV,621 IRIS DRIVE,STERLING,CO,80751,UNITED STATE OF AMERICA FARM SERVIC,621 IRIS DRIVE,STERLING,CO,80751,,
P141,12707 MISSISSIPPI APTS,1873 SOUTH BELLAIRE STREET,DENVER,CO,80222,LIGHTHOUSE 38TH,1873 SOUTH BELLAIRE STREET,DENVER,CO,80222,,
P142,VECTRA BANK COLORADO NATIONAL ASSOCIATION,401 W NORTHERN AVE,PUEBLO,CO,81004,VECTRA BANK COLORADO NATIONAL ASSOCIATION FKA MINNEQUA BANK OF PUEBLO,401 W NORTHERN AVENUE,PUEBLO,CO,81004,,
P143,LIGHTHOUSE PROPERTY SOLUTIONS,3617 BETTY DRIVE #L-S,COLORADO SPRINGS,CO,80918,HAYNES KARATE,3617 BETTY DRIVE #L-S,COLORADO SPRINGS,CO,80918,,
P144,RIO GRANDE COUNTY BANK,59 NORTH BROADWAY,MONTE VISTA,CO,81144,RIO GRANDE COUNTY GANK,59 N BROADWAY,MONTE VISTA,CO,81144,,
P145,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,81504,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,80209,,
P146,WESTERN CLEAN UP,PO BOX 1247,FORT MORGAN,CO,80701,WESTERN CLEANUP CORPERATION,P.O. BOX 1245,FORT MORGAN,CO,80701,,
P147,WOMENS BANK,724 SEVENTEENTH STREET,DENVER,CO,80202,US BANK,,DENVER,CO,80202,,
P148,US SMALL BUSINESS ADMINISTRATION,721 19TH STREET  SUITE 426,DENVER,CO,80202,US SMALL BUSINESS ADMINISTRATION,721 19TH STREET #426,DENVER,CO,80202,,
P149,COLORADO STATE BANK,PO BOX 98,WALSH,CO,81090,COLORADO STATE BANK OF WALSH,P O BOX 99,WALSH,CO,81090,,
P150,NORWEST BANK PUEBLO,201 W EIGHTH ST,PUEBLO,CO,81007,NORWEST BANK PUEBLO,201 W 8TH ST,PUEBLO,CO,81006,,
P151,HORN CONSTRUCTION,4361 E 74TH AVE,COMMERCE CITY,CO,80022,PRECISION,4361 E 74TH AVE,COMMERCE CITY,CO,80022,,
P152,OE CONSTRUCTION,16702 W 56TH DRIVE,GOLDEN,CO,80403,OE CONSTRUCTION,16702W. 56TH DRIVE,GOLDEN,CO,80403,,
P153,ROBIN AND CARMEN ROTH PARTNERSHIP,1011 KING STREET,WRAY,CO,80758,SHIVLEY MARK,101 MAIN STREET,WRAY,CO,80758,,
P154,NUDELL ENTERPRISES,PO BOX 3715,EAGLE,CO,81631,JOHNSON KUNKEL AND ASSOCIATES,PO BOX 718,EAGLE,CO,81631,,
P155,HAMPDEN WAREHOUSE LIQUOR MART,3371 W HAMPDEN AVENUE,ENGLEWOOD,CO,80110,WESTERN OFFICE SYSTEMS,3237 W HAMPDEN AVE,ENGLEWOOD,CO,80110,,
P156,VECTRA BANK COLORADO,1380 S FEDERAL ALVD,DENVER,CO,80219,SOUTHWEST STATE BANK,1380 S FEDERAL BLVD,DENVER,CO,80219,,
P157,GORDON MARY DALE,P O BOX 30,GRANT,CO,80448,GORDON MARY DALE,PO BOX 30,GRANT,CO,80448,,
P158,NORWEST BANK COLORADO,1740 BROADWAY,DENVER,CO,81657,NORWEST BANK DENVER,1740 BROADWAY,DENVER,CO,80274,,
P159,CT POWER,5100 E 58TH AVE,COMMERCE CITY,CO,80022,ICEBERG ENTERPRISES,5100 E 58TH AVE,COMMERCE CITY,CO,80022,,
