pair_id,region,question,A_name,B_name,agent_label,rule,note
CO0044,CO,ENTITY - same firm?,DIA CONSTRUCTION,B DODD CONSTRUCTION,DIFFERENT,R1,
CO0045,CO,ENTITY - same firm?,INTEGRATED SITE SERVICES INC.,INTEGRATED WATER SERVICES,DIFFERENT,R1,SITE vs WATER; Windsor vs Avon.
CO0046,CO,ENTITY - same firm?,"C & J CONCRETE, INC.","C & R CONCRETE, INC",DIFFERENT,P7,Brief names this exact pair: C & J vs C & R CONCRETE is DIFFERENT.
CO0047,CO,ENTITY - same firm?,RIZO FLATWORK CONSTRUCTION,LARRY MARTIN CONSTRUCTION,DIFFERENT,R1,
CO0048,CO,ENTITY - same firm?,DELTA COUNTY,LOGAN COUNTY,DIFFERENT,R1,
CO0049,CO,ENTITY - same firm?,"ROCKY MOUNTAIN CARDIOLOGY, P.C.","ROCKY MOUNTAIN EXCAVTING, INC.",DIFFERENT,R1,
CO0050,CO,ENTITY - same firm?,DIA CONSTRUCTION,ROBINS CONSTRUCTION,DIFFERENT,R1,
CO0051,CO,ENTITY - same firm?,PROFESSIONAL EXCAVATING,PELINO EXCAVATION,DIFFERENT,R1,
CO0052,CO,ENTITY - same firm?,HAVEN CONSTRUCTION,STONE CONSTRUCTION,DIFFERENT,R1,
CO0053,CO,ENTITY - same firm?,"AMERICAN CIVIL CONSTRUCTORS, INC.","AMERICAN WEST CONSTRUCTION, LLC",DIFFERENT,R1,
CO0054,CO,ENTITY - same firm?,MILE HIGH DAIRY L.L.C.,"Mile High Paving, Co.",DIFFERENT,R1,
CO0055,CO,ENTITY - same firm?,Rocky Mountain Custom Cabinets LLC,"ROCKY MOUNTAIN SOILS, INC.",DIFFERENT,R1,
CO0056,CO,ENTITY - same firm?,PRIMOS CONCRETE,VISTA CONCRETE,DIFFERENT,R1,
CO0057,CO,ENTITY - same firm?,RED EAGLE CONSTRUCTION,WAYNE'S CONSTRUCTION SERVICE,DIFFERENT,R1,
CO0058,CO,ENTITY - same firm?,"COLORADO CIDER COMPANY, LLC","COLORADO CRANE VI, INC.",DIFFERENT,R1,
CO0059,CO,ENTITY - same firm?,ROCKY MOUNTAIN CIVIL EXCAVATING LLC,ROCKY MOUNTAIN HELICAL PIERING,DIFFERENT,R1,
CO0060,CO,ENTITY - same firm?,COLORADO STATE FAIR,COLORADO GATE COMPANY LLC,DIFFERENT,R1,
CO0061,CO,ENTITY - same firm?,KUSTER CONSTRUCTION,R E MONKS CONSTRUCTION,DIFFERENT,R1,
CO0062,CO,ENTITY - same firm?,Advanced Underground Construction,Advanced Underground Construction LLC,SAME,R2,"Identical stem and identical PO Box 67, Glenwood Springs 81602; bare vs LLC is truncation, not a rival suffix."
CO0063,CO,ENTITY - same firm?,"ALPINE CONCRETE INC, A CORPORATION","Alpine Custom Concrete, Inc.",DIFFERENT,R1,ALPINE CONCRETE vs ALPINE CUSTOM CONCRETE; Colorado Springs vs Thornton.
CO0064,CO,ENTITY - same firm?,"CONCRETE PLANES, INC.","CONCRETE PRIDE, LLC",DIFFERENT,R1,
CO0065,CO,ENTITY - same firm?,EXPERT EXCAVATING,PATRIOT EXCAVATING,DIFFERENT,R1,
CO0066,CO,ENTITY - same firm?,"ROCKY MOUNTAIN CRANE SERVICE, INC.",Rocky Mountain Rebar Inc.,DIFFERENT,R1,
CO0067,CO,ENTITY - same firm?,D AND L CONSTRUCTION,R & D PIPELINE CONSTRUCTION,DIFFERENT,P7,D AND L vs R & D; single letters are content.
CO0068,CO,ENTITY - same firm?,ROCKY MOUNTAIN HAY FARMS LLC,ROCKY MOUNTAIN TURF LLC,DIFFERENT,R1,
CO0069,CO,ENTITY - same firm?,"FRONT RANGE AGGREGATES, LLC","FRONT RANGE FARMS, LLC",DIFFERENT,R1,
CO0070,CO,ENTITY - same firm?,C G & M CONCRETE,R&B CONCRETE PUMPING,DIFFERENT,R1,
CO0071,CO,ENTITY - same firm?,"COLORADO ASPHALT SERVICES, INC.","COLORADO HOSPITALITY SERVICES, INC.",DIFFERENT,R1,
CO0072,CO,ENTITY - same firm?,"COLORADO DESIGNSCAPES, INC.",COLORADO SAND COMPANY LLC,DIFFERENT,R1,
CO0073,CO,ENTITY - same firm?,W SQUARED EXCAVATING,GARDNER EXCAVATION,DIFFERENT,R1,"A's address cell repeats the name, but names and cities differ outright."
CO0074,CO,ENTITY - same firm?,JORDAN FOSTER CONSTRUCTION,MOODY CONSTRUCTION,DIFFERENT,R1,
CO0075,CO,ENTITY - same firm?,ANDRAOS CONSTRUCTION LLC,ANDRUS CONSTRUCTION INC.,DIFFERENT,R1,ANDRAOS vs ANDRUS are different surnames; different cities and suffixes.
CO0076,CO,ENTITY - same firm?,PRAIRIE WINDS EXCAVATING,RNS Excavating,DIFFERENT,R1,
CO0077,CO,ENTITY - same firm?,HAVEN CONSTRUCTION,ROBINS CONSTRUCTION,DIFFERENT,R1,
CO0078,CO,ENTITY - same firm?,RC CONSTRUCTION,SEMA CONSTRUCTION,DIFFERENT,R1,
CO0079,CO,ENTITY - same firm?,Hidden Mesa Construction,UNITED CONSTRUCTION,DIFFERENT,R1,
CO0080,CO,ENTITY - same firm?,ON POINT CONSTRUCTION,PENNINGTON CONSTRUCTION,DIFFERENT,R1,
CO0081,CO,ENTITY - same firm?,ROCKY MOUNTAIN EXCAVATING INC,"ROCKY MOUNTAIN EXCAVATING & CONCRETE, INC.",DIFFERENT,R6,"Same 651 Topeka Way, but '& CONCRETE' is an added word, not a register truncation."
CO0082,CO,ENTITY - same firm?,"Colorado Crane, Inc",COLORADO DREAMSCAPES LLC,DIFFERENT,R1,
CO0083,CO,ENTITY - same firm?,"ROBINS CONSTRUCTION, LLLP",PITT CONSTRUCTION,DIFFERENT,R1,
CO0084,CO,ENTITY - same firm?,ROCKY MOUNTAIN GEOTHERMAL INC.,"ROCKY MOUNTAIN PELLET COMPANY, INC.",DIFFERENT,R1,
CO0085,CO,ENTITY - same firm?,PINE GROVE EXCAVATING,Prodiggers Excavating,DIFFERENT,R1,
CO0086,CO,ENTITY - same firm?,FRONT RANGE PHOTOMASK COMPANY,"FRONT RANGE STONE, INC.",DIFFERENT,R1,
CO0087,CO,ENTITY - same firm?,"CONCRETE PLANES, INC.",Tena Concrete,DIFFERENT,R1,
CO0088,CO,ENTITY - same firm?,KUSTER CONSTRUCTION,MD CONSTRUCTION,DIFFERENT,R1,
CO0089,CO,ENTITY - same firm?,NOTTINGHAM EXCAVATING LLC,"Nottingham Excavating & Trucking, Inc.",DIFFERENT,R7,"Nottingham Excavating LLC vs Nottingham Excavating & Trucking Inc: distinct entities, Burns vs Gypsum."
CO0090,CO,ENTITY - same firm?,HBI CONSTRUCTION,Jervik Construction,DIFFERENT,R1,
CO0091,CO,ENTITY - same firm?,FARRELL EXCAVATING,JR Excavating,DIFFERENT,R1,
CO0092,CO,ENTITY - same firm?,"Concrete Concepts Design, Inc.","CONCRETE CONNECTION OF PAGOSA, INC.",DIFFERENT,R1,
CO0093,CO,ENTITY - same firm?,"ROCKY MOUNTAIN HEAT CONNECTION, INC.","ROCKY MOUNTAIN READY MIX CONCRETE, INC.",DIFFERENT,R1,
CO0094,CO,ENTITY - same firm?,ROCKY MOUNTAIN DEVELOPMENT LLC,"ROCKY MOUNTAIN POPSTER, INC.",DIFFERENT,R1,
CO0095,CO,ENTITY - same firm?,MOLTZ CONSTRUCITON,WYKOTA CONSTRUCTION,DIFFERENT,R1,
CO0096,CO,ENTITY - same firm?,"ROCKY MOUNTAIN EXCAVATING, INC.","ROCKY MOUNTAIN GRADING, INC.",DIFFERENT,R1,
CO0097,CO,ENTITY - same firm?,ROCKY MOUNTAIN LEASING LLC,"ROCKY MOUNTAIN RECYCLING, INC.",DIFFERENT,R1,
CO0098,CO,ENTITY - same firm?,H & S EXCAVATING,R&J EXCAVATION SCORP.,DIFFERENT,P7,H & S vs R&J; single letters are content.
CO0099,CO,ENTITY - same firm?,"BRAGG EXCAVATING, INC.","BRAGG LEASING, LLC",DIFFERENT,R6,Bragg Excavating vs Bragg Leasing share 320 Gateway Dr; different names at one address.
CO0100,CO,ENTITY - same firm?,"ROCKY MOUNTAIN MECHANICAL SERVICES, LLC","ROCKY MOUNTAIN RECLAMATION, LLC",DIFFERENT,R1,
CO0101,CO,ENTITY - same firm?,GRAFF EXCAVATING,JORDAN EXCAVATING,DIFFERENT,R1,
CO0102,CO,ENTITY - same firm?,JS CONCRETE,Pierson Concrete,DIFFERENT,R1,
CO0103,CO,ENTITY - same firm?,COLORADO STONE COMPANY,"COLORADO SUPERSTORES, LLC",DIFFERENT,R1,
CO0104,CO,ENTITY - same firm?,"CEC SOLAR #1054, LLC","CEC SOLAR 1134, LLC",DIFFERENT,F3,Founder ruling: numbered-series CEC SOLAR SPEs are DIFFERENT under R7 despite the shared address.
CO0105,CO,ENTITY - same firm?,PLATT ROGERS CONSTRUCTION,STONE CONSTRUCTION,DIFFERENT,R1,
CO0106,CO,ENTITY - same firm?,Colorado AleWorks LLC,COLORADO EARTHWORKS INC,DIFFERENT,R1,
CO0107,CO,ENTITY - same firm?,"BLUE MOUNTAIN EXCAVATING, INC","BLUE MOUNTAIN MECHANICAL, LLC",DIFFERENT,R1,
CO0108,CO,ENTITY - same firm?,"ROCKY MOUNTAIN EXCAVATING, INC.",ROCKY MOUNTAIN RENTALS LTD,DIFFERENT,R1,
CO0109,CO,ENTITY - same firm?,"ROCKY MOUNTAIN LANDSCAPE, INC.","ROCKY MOUNTAIN STOCKMAN, INC.",DIFFERENT,R1,
CO0110,CO,ENTITY - same firm?,"ROCKY MOUNTAIN MERIDIAN, INC.","ROCKY MOUNTAIN TRANSLOAD, INC.",DIFFERENT,R1,
CO0111,CO,ENTITY - same firm?,"THE ARON COMPANY, LLC",THE ESTES GROUP LLC,DIFFERENT,R1,
CO0112,CO,ENTITY - same firm?,"HAMON CONTRACTORS, INC.","HAMON INFRASTRUCTURE, INC.",DIFFERENT,R7,Hamon Contractors vs Hamon Infrastructure: distinct legal entities of one family.
CO0113,CO,ENTITY - same firm?,FUSION EXCAVATING,Metcalf Excavation,DIFFERENT,R1,
CO0114,CO,ENTITY - same firm?,"COLORADO DOG ACADEMY, INC.",UNIVERSITY OF COLORADO,DIFFERENT,R1,"Labelled on the rules, not on scope (S1)."
CO0115,CO,ENTITY - same firm?,HIGHLAND CONCRETE INC,HIGHLAND RANCH LAW ENFORCEMENT TRAINING FOUNDATION,DIFFERENT,R1,
CO0116,CO,ENTITY - same firm?,"ROCKY MOUNTAIN REGENERATIVE MEDICINE, PROF. LLC","ROCKY MOUNTAIN WATER WORKS, LLC",DIFFERENT,R1,
CO0117,CO,ENTITY - same firm?,"COLORADO ATLANTIC EXPRESS, LLC",UNIVERSITY OF COLORADO,DIFFERENT,R1,
CO0118,CO,ENTITY - same firm?,CONCRETE CONCEPTS LLC,"Concrete Sidewalk Solutions, Inc.",DIFFERENT,R1,
CO0119,CO,ENTITY - same firm?,"Colorado Crane Operator School, LLC","COLORADO SEWER SERVICE, INC.",DIFFERENT,R1,
CO0120,CO,ENTITY - same firm?,"ROBERT M. CHRISTENSEN, D.D.S., P.C.",Robert's Marble & Granite LLC,DIFFERENT,R1,Person-named PC vs a marble company in another state.
CO0121,CO,ENTITY - same firm?,COLORADO QUALITY RESEARCH INC,COLORADO STATE DEPT OF CORRC,DIFFERENT,R1,
CO0122,CO,ENTITY - same firm?,COLORADO EXCAVATING,COLORADO PAVEMENT SOLUTIONS LLC,DIFFERENT,R1,
CO0123,CO,ENTITY - same firm?,CENTRAL CITY,CENTREX LIMITED,DIFFERENT,R1,
CO0124,CO,ENTITY - same firm?,CUSTOM CLIMATE PROFESSIONALS LLC,"CUSTOM SERVICES OF COLORADO, INC.",DIFFERENT,R1,
CO0125,CO,ENTITY - same firm?,"Colorado Demolition, Inc.",Colorado Rock & Dirt Excavation Inc,DIFFERENT,R1,
CO0126,CO,ENTITY - same firm?,J&A SERVICES LLC,J&J DIRTWORKS LLC,DIFFERENT,P7,J&A vs J&J; single letters are content.
CO0127,CO,ENTITY - same firm?,Extreme Design Contracting,"DKD CONTRACTING, LLLP",DIFFERENT,R1,
CO0128,CO,ENTITY - same firm?,"Concrete Lift and Stabilization, Inc","CONCRETE SPECIALTIES AND UTILITIES CONSTRUCTION, INC.",DIFFERENT,R1,
CO0129,CO,ENTITY - same firm?,"COLORADO LINING CONSTRUCTION, INC.","COLORADO NATIONAL GOLF CLUB, LLC",DIFFERENT,R1,
CO0130,CO,ENTITY - same firm?,J & A PREMIUM CONCRETE CONSTRUCTION LLC,J & J CONTRACTING LLC,DIFFERENT,R1,
CO0131,CO,ENTITY - same firm?,BLACK DOG EXCAVATING,Black Fox Mining LLC,DIFFERENT,R1,
CO0132,CO,ENTITY - same firm?,"LUCHT'S CONCRETE PUMPING,",Concrete Renew,DIFFERENT,R1,
CO0133,CO,ENTITY - same firm?,"Colorado Asphalt Works, Inc.",COLORADO CONCRETE,DIFFERENT,R1,
CO0134,CO,ENTITY - same firm?,L&C Orta LLC,"L&L EXCAVATING, LLC",DIFFERENT,R1,
CO0135,CO,ENTITY - same firm?,COLORADO JOURNEYMAN & APPRENTICE TRAINING,COLORADO SPRINKLER REPAIR,DIFFERENT,R1,
CO0136,CO,ENTITY - same firm?,MOUNTAIN MADNESS INC.,"MOUNTIAN STATES CONSTRUCTION, INC.",DIFFERENT,R1,
CO0137,CO,ENTITY - same firm?,"COLORADO LANDSCAPE CONCRETE CURBING, INC.","Colorado Retina Associates, P.C.",DIFFERENT,R1,
CO0138,CO,ENTITY - same firm?,"FREEDOM FARM, INC.","FREEDOM OXYGEN, INC.",DIFFERENT,R1,
CO0139,CO,ENTITY - same firm?,"COLORADO ASPHALT SERVICES, INC.","COLORADO EQUINE CLINIC, P.C.",DIFFERENT,R1,
CO0140,CO,ENTITY - same firm?,"COLORADO CONTRACTORS ASSOCIATION, INC.",UNIVERSITY OF COLORADO,DIFFERENT,R1,
CO0141,CO,ENTITY - same firm?,"MONTEZUMA COUNTY, COLORADO","COLORADO STONE QUARRIES, INC.",DIFFERENT,R1,
CO0142,CO,ENTITY - same firm?,"BLACK BEAR CONSTRUCTION SERVICES, INC.",Black Timber Dirt Works LLC,DIFFERENT,R1,
CO0143,CO,ENTITY - same firm?,COLORADO AGGREGATE RECYCLING LLC,COLORADO STATE UNIVERSITY,DIFFERENT,R1,
CO0144,CO,ENTITY - same firm?,TOWN OF DOVE CREEK,"TOWN OF MOUNTAIN VILLAGE, COLORADO",DIFFERENT,R1,Two separate municipalities.
CO0145,CO,ENTITY - same firm?,"ASPEN CLUB & SPA MANAGEMENT, LLC",Aspen Paving & Snow Removal Inc,DIFFERENT,R1,A's address cell repeats the name and its state code is a data error (S2); names differ anyway.
CO0146,CO,ENTITY - same firm?,"COLORADO LANDSCAPES UNLIMITED, LLC","COLORADO TURF, INC.",DIFFERENT,R1,
CO0147,CO,ENTITY - same firm?,"ASPECT AVIATION II, LLC","ASPEN SKIING COMPANY, L.L.C.",DIFFERENT,R1,ASPECT vs ASPEN are different stems.
CO0148,CO,ENTITY - same firm?,"COLORADO EXCAVATING, LLC",UNIVERSITY OF COLORADO,DIFFERENT,R1,
CO0149,CO,ENTITY - same firm?,"COLORADO AIRPORT PARKING, L.L.C.","Colorado Piling Service, LLC",DIFFERENT,R1,
CO0150,CO,ENTITY - same firm?,"COLORADO CRUSHING, INC","COLORADO MOUNTAIN HOME CONSTRUCTION, LLC",DIFFERENT,R1,
CO0151,CO,ENTITY - same firm?,Dionisio Landscaping & Concrete LLC,DIONISIO ROLL-OFF SERVICE INC.,DIFFERENT,R7,Shared Dionisio surname but two distinct filed entities; La Junta vs Pueblo.
CO0152,CO,ENTITY - same firm?,Lester Concrete Construction,KAMI CONCRETE,DIFFERENT,R1,
CO0153,CO,ENTITY - same firm?,"ROCKY MOUNTAIN EXCAVTING, INC.",ROCKY MT. FENCE INC,DIFFERENT,R1,
CO0154,CO,ENTITY - same firm?,"MOUNTAIN EARTHMOVING, LLC",MOUNTAIN VISTA INDUSTRIES INC,DIFFERENT,R1,
CO0155,CO,ENTITY - same firm?,"NORRIS CATTLE, INC.","NORRIS CONCRETE CONTRACTORS, LLC",DIFFERENT,R1,"Shared NORRIS surname but CATTLE vs CONCRETE CONTRACTORS, different cities."
CO0156,CO,ENTITY - same firm?,"PEAK CUSTOM FABRICATION, INC.","PEAK FRAMING, INC.",DIFFERENT,R1,
CO0157,CO,ENTITY - same firm?,Concrete Craft of Durango and Pagosa Springs,CONCRETE PRODUCTS OF NORTHERN CALIFORNIA LLC,DIFFERENT,R1,
CO0158,CO,ENTITY - same firm?,H & H FARMS,H&H MACHINERY,DIFFERENT,R1,"FARMS vs MACHINERY; Bennett vs Castle Rock, no shared address."
CO0159,CO,ENTITY - same firm?,BELLA VISTA CONCRETE HAULING LLC,"BELLYACHE MECHANICAL INCORPORATED, LLC",DIFFERENT,R1,
CO0160,CO,ENTITY - same firm?,"Concrete Mobile Mix, LLC","CONCRETE SYSTEMS, INC.",DIFFERENT,R1,
CO0161,CO,ENTITY - same firm?,"ROCKY MOUNTAIN PUMPERS, LLC","ROCKY MOUNTAIN STONE & CONCRETE FLATWORK, LLC",DIFFERENT,R1,
CO0162,CO,ENTITY - same firm?,"TIMBERLINE FREIGHT SERVICE, INC.",TIMBERLINE LANDSCAPING LLC,DIFFERENT,R1,
CO0163,CO,ENTITY - same firm?,"CrossFire LLC, Delinquent December 1, 2008","CROSSFIRE SEEDING, LLC",DIFFERENT,R1,"After stripping the delinquency annotation, CROSSFIRE vs CROSSFIRE SEEDING; Lakewood vs Ignacio."
CO0164,CO,ENTITY - same firm?,COLORADO CONCRETE STRUCTURES INC,COLORADO DEPARTMENT OF TRANSPORTATION,DIFFERENT,R1,
CO0165,CO,ENTITY - same firm?,WESTERN COLORADO EXCAVATING INC A CORPORATION,WESTERN EXCELSIOR CORPORATION,DIFFERENT,R1,
CO0166,CO,ENTITY - same firm?,"COLORADO CONCRETE SERVICES, LLC",COLORADO ROCK & DIRT EXCAVATION LLC,DIFFERENT,R1,
CO0167,CO,ENTITY - same firm?,"SUMMIT SAND & GRAVEL, LLC",SUMMIT X LLC,DIFFERENT,R1,
CO0168,CO,ENTITY - same firm?,BALLECK CONCRETE & HAULING INC,BALLER RANCH LLC,DIFFERENT,R1,
CO0169,CO,ENTITY - same firm?,COLORADO CRUSHING,"Colorado Engineering Contractors, Inc.",DIFFERENT,R1,
CO0170,CO,ENTITY - same firm?,COLORADO DEPARTMENT OF CORRECTIONS,COLORADO PLAINS IRRIGATION LLC,DIFFERENT,R1,
CO0171,CO,ENTITY - same firm?,ADVANCED CHEMICAL TRANSPORT INC,"ADVANCED LAUNDRY SYSTEMS, LLC",DIFFERENT,R1,
CO0172,CO,ENTITY - same firm?,NORTH TECH CONTRACTING LLC,NORTHERN COLORADO IND INC,DIFFERENT,R1,
CO0173,CO,ENTITY - same firm?,Rusin Concrete Construction,GBC Concrete,DIFFERENT,R1,
CO0174,CO,ENTITY - same firm?,"Colorado Beauty RN, LLC","Colorado Camel Milk, LLC",DIFFERENT,R1,
CO0175,CO,ENTITY - same firm?,"ALL CONSTRUCTION SERVICES, LLC","ALL PHASE CONCRETE CONSTRUCTION, INC.",DIFFERENT,R1,"ENTITY row, so F2's premises ruling does not apply; names and addresses both differ."
CO0176,CO,ENTITY - same firm?,"KUCERIK, DAVID","Davis Central, Inc.",DIFFERENT,R1,Person KUCERIK DAVID vs company Davis Central Inc.
CO0177,CO,ENTITY - same firm?,COLORADO MILLING LLC,COLORADO SPRINGS ORTHOPEDIC GROUP,DIFFERENT,R1,
CO0178,CO,ENTITY - same firm?,"EXCAVATING ASSOCIATES, L.L.C.",Excavators LLC,DIFFERENT,R1,
CO0179,CO,ENTITY - same firm?,"CONSTRUCTION CONSULTING SOLUTIONS, INC.",WEEMINUCHE CONSTRUCTION,DIFFERENT,R1,
CO0180,CO,ENTITY - same firm?,"Mile-Hi Neurology Services, P.C.","MILE HIGH UNITED WAY, INC.",DIFFERENT,R1,
CO0181,CO,ENTITY - same firm?,L&D ELECTRIC LLC,"L & L ENGINEERING, LLC",DIFFERENT,P7,L&D vs L&L; single letters are content.
CO0182,CO,ENTITY - same firm?,"WESTERN CONCRETE SYSTEMS, LLC",WESTERN STREAM WORKS LLC,DIFFERENT,R1,
CO0183,CO,ENTITY - same firm?,H20 FARMS,PALMER FARMS,DIFFERENT,R1,
CO0184,CO,ENTITY - same firm?,SIECK CONTRACTING,JBS PIPELINE CONTRACTORS,DIFFERENT,R1,
CO0185,CO,ENTITY - same firm?,MILE HIGH DAIRY L.L.C.,MILE HIGH DEMOLITION AND EXCAVATION LLC,DIFFERENT,R1,
CO0186,CO,ENTITY - same firm?,"J&J HAY AND CATTLE, LLC","J & J Rental Centers, LLC",DIFFERENT,R1,
CO0187,CO,ENTITY - same firm?,"Colorado Pain & Rehab, LLC","COLORADO RETINA ASSOCIATES, P.C.",DIFFERENT,R1,
CO0188,CO,ENTITY - same firm?,"ROCKY MOUNTAIN PRECISION SERVICES, INC.",ROCKY MTN SEWER & DRAIN,DIFFERENT,R1,
